Value_male,Value_fem
37.623,8.63
37.623,8.128
38.622,8.128
38.123,8.128
37.623,8.128
38.123,8.128
38.123,8.63
37.623,8.63
37.623,9.132
37.623,9.634
38.622,10.136
38.622,10.136
38.123,10.136
38.622,10.136
38.622,10.136
37.623,9.634
38.123,9.634
37.623,9.132
37.623,8.63
37.623,8.63
37.623,8.128
37.623,8.128
37.623,7.626
38.622,7.626
37.124,7.123
38.123,7.123
37.124,6.621
37.623,6.621
38.123,6.621
38.123,6.621
37.124,6.621
36.625,7.123
37.124,7.626
37.124,8.128
37.124,8.63
37.623,8.63
38.123,9.132
37.124,9.132
37.124,8.63
36.625,8.63
36.625,8.128
36.625,7.626
36.625,7.626
36.625,7.123
36.126,6.621
37.124,6.119
37.623,6.119
37.124,5.616
37.623,5.113
37.124,5.113
37.623,4.611
37.623,4.611
37.124,4.611
37.124,4.611
37.124,5.113
37.623,5.616
37.124,6.621
37.623,7.626
37.124,8.128
37.623,8.63
36.625,8.63
37.124,9.132
36.625,9.132
39.121,9.132
38.123,9.132
36.126,8.63
35.627,8.63
37.124,8.63
38.622,8.128
38.123,8.128
38.622,7.626
32.631,7.626
23.635,7.123
17.13,7.123
14.626,6.621
14.126,6.621
12.623,6.621
11.12,6.621
13.124,7.123
33.13,7.626
37.623,8.128
37.623,8.63
37.623,9.132
38.123,9.634
37.623,9.634
37.623,9.634
37.124,9.132
38.123,9.132
37.623,8.63
36.625,8.63
36.126,8.128
36.625,7.626
36.625,7.123
35.627,6.621
37.623,6.621
27.634,6.119
19.132,5.616
14.626,5.113
12.623,4.611
11.621,4.611
10.619,4.108
10.118,4.611
9.617,4.611
9.617,5.113
10.118,5.616
11.12,6.621
15.127,7.123
36.126,7.626
37.623,7.626
38.622,7.626
36.625,7.626
37.623,7.626
37.623,7.123
37.124,6.621
37.124,6.621
37.124,6.119
37.124,6.119
37.124,5.616
37.623,5.113
37.124,5.113
37.124,4.611
37.124,4.611
36.126,4.108
36.625,4.108
36.625,4.108
37.124,4.108
37.124,4.108
38.123,4.611
37.124,5.616
36.126,6.119
36.625,6.621
37.623,6.621
37.623,7.123
37.124,7.123
37.623,6.621
38.123,6.621
37.124,6.621
38.123,6.119
36.625,6.119
37.124,5.616
36.126,5.616
35.627,5.113
37.124,5.113
36.126,5.113
36.126,4.611
38.123,4.611
37.124,4.611
36.625,4.611
36.625,4.611
36.625,5.113
37.124,5.113
37.623,5.616
36.625,6.119
